onset	duration	brud
23.92	0.04	-51
23.96	0.04	-51
24.00	0.04	-50
24.04	0.04	-52
24.08	0.04	-51
24.12	0.04	-51
24.16	0.04	-51
24.20	0.04	-52
24.24	0.04	-52
24.28	0.04	-52
24.32	0.04	-51
24.36	0.04	-51
24.40	0.04	-51
24.44	0.04	-51
24.48	0.04	-50
24.52	0.04	-50
24.56	0.04	-51
24.60	0.04	-53
24.64	0.04	-54
24.68	0.04	-56
24.72	0.04	-54
24.76	0.04	-54
24.80	0.04	-53
24.84	0.04	-52
24.88	0.04	-49
24.92	0.04	-48
24.96	0.04	-47
25.00	0.04	-47
25.04	0.04	-47
25.08	0.04	-48
25.12	0.04	-50
25.16	0.04	-49
25.20	0.04	-50
25.24	0.04	-50
25.28	0.04	-49
25.32	0.04	-49
25.36	0.04	-48
25.40	0.04	-47
25.44	0.04	-46
25.48	0.04	-46
25.52	0.04	-45
25.56	0.04	-43
25.60	0.04	-42
25.64	0.04	-41
25.68	0.04	-41
25.72	0.04	-41
25.76	0.04	-39
25.80	0.04	-40
25.84	0.04	-41
25.88	0.04	-41
25.92	0.04	-41
25.96	0.04	-41
26.00	0.04	-41
26.04	0.04	-42
26.08	0.04	-41
26.12	0.04	-42
26.16	0.04	-42
26.20	0.04	-42
26.24	0.04	-42
26.28	0.04	-44
26.32	0.04	-43
26.36	0.04	-44
26.40	0.04	-45
26.44	0.04	-45
26.48	0.04	-47
26.52	0.04	-47
26.56	0.04	-47
26.60	0.04	-48
26.64	0.04	-48
26.68	0.04	-49
26.72	0.04	-50
26.76	0.04	-51
26.80	0.04	-51
26.84	0.04	-52
26.88	0.04	-52
26.92	0.04	-53
26.96	0.04	-52
27.00	0.04	-52
27.04	0.04	-53
27.08	0.04	-53
27.12	0.04	-53
27.16	0.04	-53
27.20	0.04	-52
27.24	0.04	-53
27.28	0.04	-54
27.32	0.04	-53
27.36	0.04	-52
27.40	0.04	-53
27.44	0.04	-52
27.48	0.04	-54
27.52	0.04	-51
27.56	0.04	-52
27.60	0.04	-52
27.64	0.04	-52
27.68	0.04	-51
27.72	0.04	-50
27.76	0.04	-53
27.80	0.04	-54
27.84	0.04	-54
27.88	0.04	-54
27.92	0.04	-54
27.96	0.04	-55
28.00	0.04	-54
28.04	0.04	-53
28.08	0.04	-53
28.12	0.04	-52
28.16	0.04	-50
28.20	0.04	-51
28.24	0.04	-51
28.28	0.04	-51
28.32	0.04	-49
28.36	0.04	-49
28.40	0.04	-49
28.44	0.04	-49
28.48	0.04	-48
28.52	0.04	-47
28.56	0.04	-48
28.60	0.04	-46
28.64	0.04	-46
28.68	0.04	-46
28.72	0.04	-46
28.76	0.04	-46
28.80	0.04	-47
28.84	0.04	-47
28.88	0.04	-46
28.92	0.04	-46
28.96	0.04	-46
29.00	0.04	-47
29.04	0.04	-47
29.08	0.04	-47
29.12	0.04	-47
29.16	0.04	-47
29.20	0.04	-47
29.24	0.04	-47
29.28	0.04	-47
29.32	0.04	-46
29.36	0.04	-48
29.40	0.04	-47
29.44	0.04	-48
29.48	0.04	-48
29.52	0.04	-48
29.56	0.04	-48
29.60	0.04	-49
29.64	0.04	-49
29.68	0.04	-50
29.72	0.04	-51
29.76	0.04	-52
29.80	0.04	-51
29.84	0.04	-52
29.88	0.04	-52
29.92	0.04	-52
29.96	0.04	-52
30.00	0.04	-52
30.04	0.04	-53
30.08	0.04	-53
30.12	0.04	-53
30.16	0.04	-53
30.20	0.04	-53
30.24	0.04	-53
30.28	0.04	-54
30.32	0.04	-54
30.36	0.04	-55
30.40	0.04	-54
30.44	0.04	-55
30.48	0.04	-56
30.52	0.04	-54
30.56	0.04	-54
30.60	0.04	-55
30.64	0.04	-56
30.68	0.04	-57
30.72	0.04	-57
30.76	0.04	-57
30.80	0.04	-57
30.84	0.04	-59
30.88	0.04	-59
30.92	0.04	-61
30.96	0.04	-62
31.00	0.04	-62
31.04	0.04	-64
31.08	0.04	-66
31.12	0.04	-65
31.16	0.04	-66
31.20	0.04	-67
31.24	0.04	-68
31.28	0.04	-69
31.32	0.04	-68
31.36	0.04	-68
31.40	0.04	-69
31.44	0.04	-68
31.48	0.04	-69
31.52	0.04	-69
31.56	0.04	-70
31.60	0.04	-70
31.64	0.04	-69
31.68	0.04	-68
31.72	0.04	-68
31.76	0.04	-67
31.80	0.04	-67
31.84	0.04	-67
31.88	0.04	-67
31.92	0.04	-66
31.96	0.04	-67
32.00	0.04	-66
32.04	0.04	-67
32.08	0.04	-66
32.12	0.04	-66
32.16	0.04	-65
32.20	0.04	-66
32.24	0.04	-66
32.28	0.04	-66
32.32	0.04	-65
32.36	0.04	-67
32.40	0.04	-67
32.44	0.04	-67
32.48	0.04	-66
32.52	0.04	-67
32.56	0.04	-65
32.60	0.04	-65
32.64	0.04	-65
32.68	0.04	-67
32.72	0.04	-67
32.76	0.04	-67
32.80	0.04	-65
32.84	0.04	-66
32.88	0.04	-66
32.92	0.04	-66
32.96	0.04	-66
33.00	0.04	-65
33.04	0.04	-63
33.08	0.04	-64
33.12	0.04	-63
33.16	0.04	-63
33.20	0.04	-62
33.24	0.04	-62
33.28	0.04	-62
33.32	0.04	-61
33.36	0.04	-62
33.40	0.04	-60
33.44	0.04	-58
33.48	0.04	-59
33.52	0.04	-58
33.56	0.04	-56
33.60	0.04	-56
33.64	0.04	-56
33.68	0.04	-57
33.72	0.04	-56
33.76	0.04	-55
33.80	0.04	-55
33.84	0.04	-55
33.88	0.04	-54
33.92	0.04	-52
33.96	0.04	-50
34.00	0.04	-49
34.04	0.04	-47
34.08	0.04	-47
34.12	0.04	-46
34.16	0.04	-45
34.20	0.04	-45
34.24	0.04	-43
34.28	0.04	-42
34.32	0.04	-42
34.36	0.04	-41
34.40	0.04	-40
34.44	0.04	-39
34.48	0.04	-40
34.52	0.04	-41
34.56	0.04	-41
34.60	0.04	-41
34.64	0.04	-41
34.68	0.04	-43
34.72	0.04	-43
34.76	0.04	-44
34.80	0.04	-44
34.84	0.04	-43
34.88	0.04	-43
34.92	0.04	-41
34.96	0.04	-41
35.00	0.04	-41
35.04	0.04	-39
35.08	0.04	-38
35.12	0.04	-39
35.16	0.04	-37
35.20	0.04	-36
35.24	0.04	-36
35.28	0.04	-34
35.32	0.04	-33
35.36	0.04	-31
35.40	0.04	-31
35.44	0.04	-30
35.48	0.04	-27
35.52	0.04	-27
35.56	0.04	-26
35.60	0.04	-26
35.64	0.04	-25
35.68	0.04	-22
35.72	0.04	-21
35.76	0.04	-20
35.80	0.04	-18
35.84	0.04	-17
35.88	0.04	-15
35.92	0.04	-14
35.96	0.04	-13
36.00	0.04	-11
36.04	0.04	-10
36.08	0.04	-9
36.12	0.04	-8
36.16	0.04	-6
36.20	0.04	-4
36.24	0.04	-4
36.28	0.04	-1
36.32	0.04	-1
