onset	duration	brlr
16.84	0.04	26
16.88	0.04	31
16.92	0.04	31
16.96	0.04	32
17.00	0.04	33
17.04	0.04	30
17.08	0.04	26
17.12	0.04	26
17.16	0.04	25
17.20	0.04	24
17.24	0.04	25
17.28	0.04	24
17.32	0.04	24
17.36	0.04	26
17.40	0.04	26
17.44	0.04	26
17.48	0.04	26
17.52	0.04	26
17.56	0.04	26
17.60	0.04	26
17.64	0.04	25
17.68	0.04	25
17.72	0.04	27
17.76	0.04	27
17.80	0.04	26
17.84	0.04	25
17.88	0.04	25
17.92	0.04	26
17.96	0.04	26
18.00	0.04	24
18.04	0.04	26
18.08	0.04	27
18.12	0.04	26
18.16	0.04	26
18.20	0.04	27
18.24	0.04	28
18.28	0.04	29
18.32	0.04	27
18.36	0.04	28
18.40	0.04	24
18.44	0.04	22
18.48	0.04	21
18.52	0.04	20
18.56	0.04	21
18.60	0.04	23
18.64	0.04	22
18.68	0.04	21
18.72	0.04	20
18.76	0.04	15
18.80	0.04	12
18.84	0.04	6
18.88	0.04	-1
18.92	0.04	-5
18.96	0.04	-2
19.00	0.04	5
19.04	0.04	12
19.08	0.04	17
19.12	0.04	20
19.16	0.04	21
19.20	0.04	26
19.24	0.04	30
19.28	0.04	30
19.32	0.04	30
19.36	0.04	29
19.40	0.04	28
19.44	0.04	26
19.48	0.04	28
19.52	0.04	30
19.56	0.04	33
19.60	0.04	34
19.64	0.04	36
19.68	0.04	36
19.72	0.04	36
19.76	0.04	36
19.80	0.04	34
19.84	0.04	32
19.88	0.04	28
19.92	0.04	25
19.96	0.04	22
20.00	0.04	22
20.04	0.04	21
20.08	0.04	21
20.12	0.04	21
20.16	0.04	21
20.20	0.04	21
20.24	0.04	22
20.28	0.04	22
20.32	0.04	23
20.36	0.04	24
20.40	0.04	23
20.44	0.04	24
20.48	0.04	24
20.52	0.04	23
20.56	0.04	24
20.60	0.04	23
20.64	0.04	24
20.68	0.04	23
20.72	0.04	24
20.76	0.04	24
20.80	0.04	24
20.84	0.04	25
20.88	0.04	25
20.92	0.04	25
20.96	0.04	25
21.00	0.04	24
21.04	0.04	26
21.08	0.04	26
21.12	0.04	26
21.16	0.04	27
21.20	0.04	28
21.24	0.04	26
21.28	0.04	27
21.32	0.04	27
21.36	0.04	-18
21.40	0.04	-19
21.44	0.04	-19
21.48	0.04	-22
21.52	0.04	-23
21.56	0.04	-21
21.60	0.04	-21
21.64	0.04	-26
21.68	0.04	-29
21.72	0.04	-32
21.76	0.04	-32
21.80	0.04	-32
21.84	0.04	-30
21.88	0.04	-30
21.92	0.04	-30
21.96	0.04	-30
22.00	0.04	-31
22.04	0.04	-32
22.08	0.04	-34
22.12	0.04	-38
22.16	0.04	-39
22.20	0.04	-38
22.24	0.04	-38
22.28	0.04	-36
22.32	0.04	-34
22.36	0.04	-31
22.40	0.04	-32
22.44	0.04	-40
22.48	0.04	-47
22.52	0.04	-51
22.56	0.04	-55
22.60	0.04	-54
22.64	0.04	-52
22.68	0.04	-51
22.72	0.04	-50
22.76	0.04	-47
22.80	0.04	-41
22.84	0.04	-35
22.88	0.04	-32
22.92	0.04	-27
22.96	0.04	-25
23.00	0.04	-24
23.04	0.04	-23
23.08	0.04	-19
23.12	0.04	-15
23.16	0.04	-12
23.20	0.04	-12
23.24	0.04	-8
23.28	0.04	-7
23.32	0.04	-5
23.36	0.04	-1
23.40	0.04	0
23.44	0.04	1
23.48	0.04	1
23.52	0.04	2
23.56	0.04	4
23.60	0.04	8
23.64	0.04	8
23.68	0.04	10
23.72	0.04	10
23.76	0.04	10
23.80	0.04	11
23.84	0.04	9
23.88	0.04	8
23.92	0.04	8
23.96	0.04	9
24.00	0.04	7
24.04	0.04	9
24.08	0.04	8
24.12	0.04	8
24.16	0.04	9
24.20	0.04	4
24.24	0.04	4
24.28	0.04	1
24.32	0.04	1
24.36	0.04	-1
